X Scale,Y Scale,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,prac_trials_run1.ran,runID,imgID,stimLabel,imFile,corr,side,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,fixR1,fix_resp1_1.keys,fix_resp1_1.corr,trial_resp.keys,trial_resp.corr,trial_resp.rt,fix_resp_2.keys,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,trials_run1.ran,fix_resp1_1.rt
0.0519,0.0516,j,1,3.44944,0,j,1,1.316845,,1,0,0,0,3,1,1,7,smallSincon,Stimuli/HofS2.jpg,j,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,
,,,,,0,f,1,1.155505,,1,0,1,1,0,1,1,3,smallHincon,Stimuli/SofH2.jpg,f,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,
,,,,,1,j,1,2.149535,,0,0,2,2,1,1,1,6,smallScongr,Stimuli/SofS2.jpg,j,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,
,,,,,0,f,1,2.036595,,1,0,3,3,4,1,1,4,smallHincon,Stimuli/SofH2.jpg,f,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,
,,,,,,f,1,0.65672,,1,0,4,4,2,1,1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,
,,,,,,f,1,0.55559,,1,0,5,5,5,1,1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,7,smallSincon,Stimuli/HofS2.jpg,j,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,j,1,0.774605,,0,0,0,3,1,
,,,,,,,,,,,,,,,,1,6,smallScongr,Stimuli/SofS2.jpg,j,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,j,1,0.45307,,0,1,1,6,1,
,,,,,,,,,,,,,,,,1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,f,1,0.722125,,0,2,2,0,1,
,,,,,,,,,,,,,,,,1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,1,space,1,f,1,0.910425,,0,3,3,4,1,0.81375
,,,,,,,,,,,,,,,,1,5,smallScongr,Stimuli/SofS2.jpg,j,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,j,1,0.48366,,0,4,4,2,1,
,,,,,,,,,,,,,,,,1,3,smallHincon,Stimuli/SofH2.jpg,f,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,1,space,1,f,1,1.311365,,0,5,5,1,1,0.952415
,,,,,,,,,,,,,,,,1,4,smallHincon,Stimuli/SofH2.jpg,f,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,f,1,0.83318,,0,6,6,5,1,
,,,,,,,,,,,,,,,,1,8,smallSincon,Stimuli/HofS2.jpg,j,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,1,space,1,j,1,1.110235,,0,7,7,7,1,0.646265
,,,,,,,,,,,,,,,,1,7,smallSincon,Stimuli/HofS2.jpg,j,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,j,1,0.76276,,1,0,8,3,1,
,,,,,,,,,,,,,,,,1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,1,space,1,f,1,0.74096,,1,1,9,0,1,0.627905
,,,,,,,,,,,,,,,,1,3,smallHincon,Stimuli/SofH2.jpg,f,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,f,1,0.8873,,1,2,10,1,1,
,,,,,,,,,,,,,,,,1,5,smallScongr,Stimuli/SofS2.jpg,j,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,j,1,0.650715,,1,3,11,2,1,
,,,,,,,,,,,,,,,,1,6,smallScongr,Stimuli/SofS2.jpg,j,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,j,1,0.500065,,1,4,12,6,1,
,,,,,,,,,,,,,,,,1,8,smallSincon,Stimuli/HofS2.jpg,j,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,j,1,0.612555,,1,5,13,7,1,
,,,,,,,,,,,,,,,,1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,f,1,0.71722,,1,6,14,4,1,
,,,,,,,,,,,,,,,,1,4,smallHincon,Stimuli/SofH2.jpg,f,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,space,0,f,1,0.82878,,1,7,15,5,1,0.0068
,,,,,,,,,,,,,,,,1,8,smallSincon,Stimuli/HofS2.jpg,j,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,j,1,0.634175,,2,0,16,7,1,
,,,,,,,,,,,,,,,,1,3,smallHincon,Stimuli/SofH2.jpg,f,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,1,space,1,f,1,1.224545,,2,1,17,1,1,0.60476
,,,,,,,,,,,,,,,,1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,1,space,1,f,1,0.85012,,2,2,18,0,1,0.98743
,,,,,,,,,,,,,,,,1,5,smallScongr,Stimuli/SofS2.jpg,j,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,1,space,1,j,1,0.77579,,2,3,19,2,1,0.68939
,,,,,,,,,,,,,,,,1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,1,space,1,f,1,0.827665,,2,4,20,4,1,0.759235
,,,,,,,,,,,,,,,,1,7,smallSincon,Stimuli/HofS2.jpg,j,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,j,1,0.90898,,2,5,21,3,1,
,,,,,,,,,,,,,,,,1,4,smallHincon,Stimuli/SofH2.jpg,f,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,f,1,0.767495,,2,6,22,5,1,
,,,,,,,,,,,,,,,,1,6,smallScongr,Stimuli/SofS2.jpg,j,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,j,1,1.033225,,2,7,23,6,1,
,,,,,,,,,,,,,,,,1,4,smallHincon,Stimuli/SofH2.jpg,f,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,f,1,0.82232,,3,0,24,5,1,
,,,,,,,,,,,,,,,,1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,f,1,0.754345,,3,1,25,0,1,
,,,,,,,,,,,,,,,,1,3,smallHincon,Stimuli/SofH2.jpg,f,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,f,1,0.775795,,3,2,26,1,1,
,,,,,,,,,,,,,,,,1,8,smallSincon,Stimuli/HofS2.jpg,j,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,j,1,0.950725,,3,3,27,7,1,
,,,,,,,,,,,,,,,,1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,f,1,0.638605,,3,4,28,4,1,
,,,,,,,,,,,,,,,,1,5,smallScongr,Stimuli/SofS2.jpg,j,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,1,space,1,j,1,2.053355,,3,5,29,2,1,0.76752
,,,,,,,,,,,,,,,,1,7,smallSincon,Stimuli/HofS2.jpg,j,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,j,1,0.657765,,3,6,30,3,1,
,,,,,,,,,,,,,,,,1,6,smallScongr,Stimuli/SofS2.jpg,j,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,j,1,0.810135,,3,7,31,6,1,
,,,,,,,,,,,,,,,,1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,f,1,0.59205,,4,0,32,0,1,
,,,,,,,,,,,,,,,,1,5,smallScongr,Stimuli/SofS2.jpg,j,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,1,space,1,j,1,1.052355,,4,1,33,2,1,0.770455
,,,,,,,,,,,,,,,,1,4,smallHincon,Stimuli/SofH2.jpg,f,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,1,space,1,f,1,0.8261,,4,2,34,5,1,0.824995
,,,,,,,,,,,,,,,,1,6,smallScongr,Stimuli/SofS2.jpg,j,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,j,1,0.762325,,4,3,35,6,1,
,,,,,,,,,,,,,,,,1,7,smallSincon,Stimuli/HofS2.jpg,j,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,j,1,0.936555,,4,4,36,3,1,
,,,,,,,,,,,,,,,,1,8,smallSincon,Stimuli/HofS2.jpg,j,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,j,1,0.60064,,4,5,37,7,1,
,,,,,,,,,,,,,,,,1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,f,1,0.53511,,4,6,38,4,1,
,,,,,,,,,,,,,,,,1,3,smallHincon,Stimuli/SofH2.jpg,f,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,f,1,0.69501,,4,7,39,1,1,
,,,,,,,,,,,,,,,,1,8,smallSincon,Stimuli/HofS2.jpg,j,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,1,space,1,j,1,0.73854,,5,0,40,7,1,0.56231
,,,,,,,,,,,,,,,,1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,f,1,0.51768,,5,1,41,0,1,
,,,,,,,,,,,,,,,,1,4,smallHincon,Stimuli/SofH2.jpg,f,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,f,1,0.803245,,5,2,42,5,1,
,,,,,,,,,,,,,,,,1,5,smallScongr,Stimuli/SofS2.jpg,j,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,j,1,0.77652,,5,3,43,2,1,
,,,,,,,,,,,,,,,,1,6,smallScongr,Stimuli/SofS2.jpg,j,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,j,1,0.923205,,5,4,44,6,1,
,,,,,,,,,,,,,,,,1,3,smallHincon,Stimuli/SofH2.jpg,f,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,f,1,0.68846,,5,5,45,1,1,
,,,,,,,,,,,,,,,,1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,f,1,0.510765,,5,6,46,4,1,
,,,,,,,,,,,,,,,,1,7,smallSincon,Stimuli/HofS2.jpg,j,left,WR,1,2,2021-01-06_23h00.27.457,global_local,2020.2.4,Win32,60,1536,864,0,,1,f,0,0.696965,,5,7,47,3,1,
